;k=1;k=2;k=3;k=4;k=5;k=6;k=7;k=8;k=9;k=10;k=11;k=12;k=13;k=14;k=15;k=16;k=17;k=18;k=19;k=20;;;;;;;;;;;;;;;;;;;;;;
GeneralB;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;;;;;;;;;;;;;;;;;;;;;;
mLkNN;0,3754;0,3754;0,3754;0,4064;0,4140;0,4597;0,4928;0,4623;0,4267;0,4505;0,4141;0,4535;0,4490;0,4845;0,4857;0,4206;0,4346;0,4532;0,4252;0,4824;;;;;;;;;;;;;;;;;;;;;;
bRkNN;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;;;;;;;;;;;;;;;;;;;;;;
bRkNN_a;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;;;;;;;;;;;;;;;;;;;;;;
bRkNN_b;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;;;;;;;;;;;;;;;;;;;;;;
mlmut;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;;;;;;;;;;;;;;;;;;;;;;
mlmut_a;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;;;;;;;;;;;;;;;;;;;;;;
mlmut_b;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;;;;;;;;;;;;;;;;;;;;;;
mlnotmut;0,3754;0,3754;0,3941;0,4035;0,3941;0,4326;0,3969;0,4326;0,3969;0,4265;0,4265;0,4265;0,3879;0,3879;0,3868;0,3879;0,3868;0,3915;0,3868;0,3868;;;;;;;;;;;;;;;;;;;;;;
mlnotmut_a;0,3754;0,3754;0,3941;0,4035;0,3941;0,4326;0,3969;0,4326;0,3969;0,4265;0,4265;0,4265;0,3879;0,3879;0,3868;0,3879;0,3868;0,3915;0,3868;0,3868;;;;;;;;;;;;;;;;;;;;;;
mlnotmut_b;0,3754;0,3980;0,4088;0,4035;0,4297;0,4370;0,3990;0,4265;0,3990;0,4265;0,4265;0,4265;0,4265;0,4052;0,4282;0,4052;0,4282;0,4087;0,4087;0,4318;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;k=1;k=2;k=3;k=4;k=5;k=6;k=7;k=8;k=9;k=10;k=11;k=12;k=13;k=14;k=15;k=16;k=17;k=18;k=19;k=20;;;k=1;k=2;k=3;k=4;k=5;k=6;k=7;k=8;k=9;k=10;k=11;k=12;k=13;k=14;k=15;k=16;k=17;k=18;k=19;k=20
GeneralB;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;;mLkNN;0,073;0,0764;0,0765;0,0799;0,0784;0,0885;0,0856;0,085;0,092;0,0903;0,0976;0,0971;0,104;0,1008;0,104;0,1011;0,1063;0,1171;0,1145;0,1098
mLkNN;0,3754;0,3754;0,3754;0,4064;0,414;0,4597;0,4928;0,4623;0,4267;0,4505;0,4141;0,4535;0,449;0,4845;0,4857;0,4206;0,4346;0,4532;0,4252;0,4824;;bRkNN;0,0673;0,0894;0,1182;0,1369;0,1433;0,1509;0,1585;0,1629;0,1664;0,1751;0,1833;0,1906;0,193;0,1987;0,1978;0,1975;0,2006;0,2119;0,2217;0,2227
bRkNN;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;;bRkNN_a;0,067;0,0891;0,1179;0,1366;0,143;0,1506;0,1583;0,1627;0,1662;0,175;0,1832;0,1905;0,1928;0,1985;0,1978;0,1975;0,2006;0,2119;0,2217;0,2227
bRkNN_a;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;;bRkNN_b;0,066;0,0895;0,1176;0,1377;0,1444;0,1535;0,1618;0,1671;0,1715;0,1802;0,1889;0,1946;0,1969;0,2013;0,2049;0,206;0,2089;0,2213;0,2295;0,2281
bRkNN_b;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;;mlmut;0,0678;0,0684;0,0679;0,0697;0,0694;0,0705;0,0704;0,0698;0,071;0,07;0,0713;0,0723;0,0708;0,0717;0,0733;0,0719;0,0719;0,0727;0,0745;0,0743
mlmut;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;;mlmut_a;0,0675;0,0681;0,0678;0,0694;0,0692;0,0703;0,0703;0,0698;0,071;0,07;0,0713;0,0719;0,0708;0,0716;0,0732;0,0717;0,0717;0,0727;0,0745;0,0743
mlmut_a;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;;mlmut_b;0,0663;0,0686;0,0698;0,072;0,0732;0,0746;0,0767;0,0768;0,0777;0,077;0,0797;0,0802;0,0816;0,0828;0,0834;0,0833;0,0849;0,0852;0,0871;0,0872
mlmut_b;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;;mlnotmut;0,0701;0,0898;0,0838;0,105;0,0944;0,1093;0,1055;0,115;0,1142;0,1171;0,1204;0,1242;0,1272;0,1315;0,1322;0,1389;0,1394;0,1432;0,1452;0,1509
mlnotmut;0,3754;0,3754;0,3941;0,4035;0,3941;0,4326;0,3969;0,4326;0,3969;0,4265;0,4265;0,4265;0,3879;0,3879;0,3868;0,3879;0,3868;0,3915;0,3868;0,3868;;mlnotmut_a;0,0701;0,0895;0,0837;0,105;0,0942;0,1094;0,1055;0,115;0,1142;0,1171;0,1204;0,1242;0,1272;0,1315;0,1322;0,1389;0,1394;0,1432;0,1452;0,1509
mlnotmut_a;0,3754;0,3754;0,3941;0,4035;0,3941;0,4326;0,3969;0,4326;0,3969;0,4265;0,4265;0,4265;0,3879;0,3879;0,3868;0,3879;0,3868;0,3915;0,3868;0,3868;;mlnotmut_b;0,0781;0,0938;0,0942;0,109;0,1066;0,1224;0,1214;0,1272;0,13;0,1338;0,1383;0,1414;0,145;0,1453;0,1468;0,1505;0,1516;0,155;0,1582;0,1621
mlnotmut_b;0,3754;0,398;0,4088;0,4035;0,4297;0,437;0,399;0,4265;0,399;0,4265;0,4265;0,4265;0,4265;0,4052;0,4282;0,4052;0,4282;0,4087;0,4087;0,4318;;;;;;;;;;;;;;;;;;;;;;
